row_number,ground_truth_path,run_id,status,final_validation_passed,iterations_used,llm_calls_total,token_all_tokens,token_input_tokens,token_output_tokens,token_prompt_tokens,token_completion_tokens,duration_seconds,error_message
112,Data\groud_truth\template\sns-sqs.yaml,20260407_064232_67c3fb07,ok,True,2.0,4.0,5607.0,0.0,0.0,4311.0,1296.0,67.253,
113,Data\groud_truth\template\sns_with_events.yaml,20260407_064340_23477da6,ok,True,1.0,2.0,2792.0,0.0,0.0,2280.0,512.0,27.504,
114,Data\groud_truth\template\b2bi.yaml,20260407_064407_13d4a7cf,ok,False,5.0,10.0,174384.0,0.0,0.0,149262.0,25122.0,1177.495,
115,Data\groud_truth\template\sns-secretsmanager.yaml,20260407_070345_23f5dbdd,ok,True,4.0,8.0,14445.0,0.0,0.0,12148.0,2297.0,159.552,
116,Data\groud_truth\template\sns_with_sqs.yaml,20260407_070624_95e332fd,ok,True,1.0,2.0,3574.0,0.0,0.0,2605.0,969.0,55.995,
117,Data\groud_truth\template\DynamoDB_to_EventBridge.yaml,20260407_070720_03622fce,ok,False,5.0,10.0,47023.0,0.0,0.0,40285.0,6738.0,348.492,
118,Data\groud_truth\template\EventBridge_Pipes_with_API_destinations.yaml,20260407_071309_854f3aec,ok,False,5.0,10.0,232299.0,0.0,0.0,189322.0,42977.0,1932.074,
119,Data\groud_truth\template\event-kinesis.yaml,20260407_074521_88a6c084,ok,True,1.0,2.0,3054.0,0.0,0.0,2401.0,653.0,37.437,
120,Data\groud_truth\template\sqs-pipes-batch-service.yaml,20260407_074558_7b693179,ok,False,5.0,10.0,99236.0,0.0,0.0,82244.0,16992.0,713.874,
121,Data\groud_truth\template\eventbridge-schedule-to-ssm.yaml,20260407_075752_b2e5657b,ok,False,5.0,10.0,53257.0,0.0,0.0,44502.0,8755.0,489.448,
122,Data\groud_truth\template\ShopifyAPIDestination.yaml,20260407_080601_ad91ad4a,ok,False,5.0,10.0,22368.0,0.0,0.0,19427.0,2941.0,168.392,
123,Data\groud_truth\template\stripe.yaml,20260407_080850_5ca5a77f,ok,False,5.0,10.0,29653.0,0.0,0.0,25255.0,4398.0,220.382,
124,Data\groud_truth\template\api_with_dynamoDB.yaml,20260407_081230_f90ccde1,ok,True,2.0,4.0,10089.0,0.0,0.0,6942.0,3147.0,151.608,
125,Data\groud_truth\template\apigateway_ses.yaml,20260407_081502_70cf3a9e,ok,False,5.0,10.0,50674.0,0.0,0.0,42215.0,8459.0,417.433,
126,Data\groud_truth\template\apigateway_kinesis.yaml,20260407_082159_6da67ef5,ok,False,5.0,10.0,74864.0,0.0,0.0,62084.0,12780.0,490.291,
127,Data\groud_truth\template\efs_easy.yaml,20260407_083010_e2ddede9,ok,False,5.0,10.0,23258.0,0.0,0.0,20131.0,3127.0,164.729,
128,Data\groud_truth\template\securityhub-controls.yaml,20260407_083254_b5b1c04f,ok,True,3.0,6.0,21266.0,0.0,0.0,16113.0,5153.0,448.11,
129,Data\groud_truth\template\config.yaml,20260407_084022_7c386b3e,ok,False,5.0,10.0,385729.0,0.0,0.0,331765.0,53964.0,1944.374,
130,Data\groud_truth\template\account-password-policy.yaml,20260407_091247_7431a552,ok,True,4.0,8.0,25373.0,0.0,0.0,20641.0,4732.0,189.895,
131,Data\groud_truth\template\alert.yaml,20260407_091557_6fe7b51d,ok,False,5.0,10.0,223252.0,0.0,0.0,180505.0,42747.0,1514.122,
132,Data\groud_truth\template\batch-demo.template.yaml,20260407_094111_cd024cc1,ok,False,5.0,10.0,56603.0,0.0,0.0,47294.0,9309.0,307.313,
133,Data\groud_truth\template\arch7-lab1.template.yaml,20260407_094618_f9ace29d,ok,False,5.0,10.0,42365.0,0.0,0.0,35398.0,6967.0,267.769,
134,Data\groud_truth\template\lambda-demo.yaml,20260407_095046_fcf90093,ok,True,2.0,4.0,4710.0,0.0,0.0,3894.0,816.0,39.856,
135,Data\groud_truth\template\cloudfront-demo-api.yaml,20260407_095126_e46bb5fe,ok,True,1.0,2.0,3319.0,0.0,0.0,2384.0,935.0,41.928,
136,Data\groud_truth\template\permission-boundary-demo.yaml,20260407_095208_695f1fd7,ok,False,5.0,10.0,35088.0,0.0,0.0,29950.0,5138.0,177.505,
137,Data\groud_truth\template\appsync-demo.yaml,20260407_095505_2cba68e6,ok,False,5.0,10.0,34290.0,0.0,0.0,29197.0,5093.0,178.911,
138,Data\groud_truth\template\arch-lab1-demo.yaml,20260407_095804_ac246261,ok,False,5.0,10.0,134559.0,0.0,0.0,113297.0,21262.0,2602.775,
139,Data\groud_truth\template\custom-resource-example.yaml,20260407_104127_2dea8a38,ok,False,5.0,10.0,28633.0,0.0,0.0,24498.0,4135.0,467.518,
140,Data\groud_truth\template\stepfunction-calculator.yaml,20260407_104914_73a133c5,ok,True,1.0,2.0,3948.0,0.0,0.0,2481.0,1467.0,205.526,
141,Data\groud_truth\template\stepfunction-recognition.yaml,20260407_105240_0ff5fd3c,ok,False,5.0,10.0,70999.0,0.0,0.0,59301.0,11698.0,1743.402,
142,Data\groud_truth\template\systems-manager-demo.yaml,20260407_112143_30e8b6e3,ok,False,5.0,10.0,76285.0,0.0,0.0,64418.0,11867.0,1850.033,
143,Data\groud_truth\template\arch7-lab6.yaml,20260407_115233_e2a10cca,ok,True,5.0,10.0,47541.0,0.0,0.0,40275.0,7266.0,1824.993,
144,Data\groud_truth\template\arch7-lab2.yaml,20260407_122258_344d5441,ok,False,5.0,10.0,63009.0,0.0,0.0,52318.0,10691.0,1485.988,
145,Data\groud_truth\template\cloudfront-demo.yaml,20260407_124744_fc8f1485,ok,False,5.0,10.0,38648.0,0.0,0.0,32411.0,6237.0,680.887,
146,Data\groud_truth\template\adv-dev-lab3.yaml,20260407_125905_ee624630,ok,False,5.0,10.0,60868.0,0.0,0.0,50486.0,10382.0,1494.278,
147,Data\groud_truth\template\slot-machine-website.yaml,20260407_132359_5a41022c,ok,False,5.0,10.0,65803.0,0.0,0.0,54766.0,11037.0,2618.142,
148,Data\groud_truth\template\multiaz.yaml,20260407_140738_38288ece,ok,False,5.0,10.0,62071.0,0.0,0.0,52148.0,9923.0,1640.873,
149,Data\groud_truth\template\efs.yaml,20260407_143459_33bf3263,ok,False,5.0,10.0,104308.0,0.0,0.0,86220.0,18088.0,2775.156,
150,Data\groud_truth\template\redis-minimal.yaml,20260407_152114_42a76d22,ok,False,5.0,10.0,48493.0,0.0,0.0,40639.0,7854.0,1056.006,
151,Data\groud_truth\template\bedrock-agent.yaml,20260407_153850_b4edae3c,ok,False,5.0,10.0,31485.0,0.0,0.0,27211.0,4274.0,480.356,
152,Data\groud_truth\template\template-rds-proxy.yaml,20260407_154650_d3ac07be,ok,False,5.0,10.0,168574.0,0.0,0.0,141172.0,27402.0,2102.617,
